Company_Name,Leaders,No_of_Employee,Funding Type,Yr,Software Type,Industry,Category,Size,Website,LinkedIn,Address
3dMD,Kelly Duncan,11-50 employees,Self-funded,Founded: 2000,B2B SaaS,Horizontal,On-Demand Services,Small,www.3dmd.com,https://www.linkedin.com/company/3dmd/about/,"3200 Cobb Galleria Parkway # 203, Atlanta, Georgia 30339 USA"
86Borders,Michael McChesney,11-50 employees,VC-funded,Founded: 2014,B2B SaaS,Horizontal,Communications,Small,86borders.com,https://www.linkedin.com/company/86borders/about/,"Atlanta, GA"
Absolute E,Srini Centhala,11-50 employees,Self-funded,Founded: 1999,B2B SaaS,Horizontal,Analytics and BI,Small,www.absolut-e.com,https://www.linkedin.com/company/absolut-e-data-com/about/,"820 Sheridan Ridge Court, Alpharetta, GA 30022, USA."
Absolute Value,Mary Triggs Lanham,11-50 employees,Self-funded,Founded: 2010,B2B SaaS,Horizontal,Business Mgt and ERP,Small,absolutevalue-us.com,https://www.linkedin.com/company/absolute-value/about/,"Norcross, GA"
accessnow,Francesco Quinterno,1-10 employees,Self-funded,Founded: 2010,B2B SaaS,Horizontal,Compliance,Startup,www.accessnowusa.com,https://www.linkedin.com/company/accessnow-usa-llc/about/,"611 Timm Valley Road NE, Atlanta, GA 30305"
Accord Systems,David Essary,11-50 employees,Self-funded,Founded: 2015,B2B SaaS,Healthcare,Compliance,Small,www.accord-aca.com,https://www.linkedin.com/company/accord-systems/about/,"Alpharetta, GA"
ACE Dental Software,John Hastings,11-50 employees,Self-funded,Founded: 1989,B2B SaaS,Healthcare,Practice Management,Small,www.ace-dental.com,https://www.linkedin.com/company/ace-dental-software/about/,"Atlanta, GA"
AchieveIt,Christy Johnson,11-50 employees,VC-funded,Founded: 2010,B2B SaaS,Horizontal,Business Mgt and ERP,Small,www.achieveit.com,https://www.linkedin.com/company/achieveit/about/,"Atlanta, GA"
Acivilate,Louise Wasilewski,1-10 employees,Angel or Seed Funding,Founded: 2014,B2B SaaS,Legal,Practice Management,Startup,acivilate.com,https://www.linkedin.com/company/acivilate-inc/about/,"Atlanta, GA"
ACOM Health,Julie Bock,11-50 employees,Self-funded,Founded: 1983,B2B SaaS,Healthcare,Practice Management,Small,www.acomhealth.com,https://www.linkedin.com/company/acom-health/about/,"2455 Meadowbrook Pkwy NW , Duluth, GA 30096, US"
Acoustic,Dennis Self,1001-5000 employees,Self-funded,Founded: 2019,B2B SaaS,Horizontal,Sales and Marketing,Large,www.acoustic.com,https://www.linkedin.com/company/goacoustic/about/,"115 Perimeter Center place, 7th Floor, Atlanta, GA"
Activ Technologies,Jaymie Forrest,11-50 employees,Angel or Seed Funding,Founded: 2012,B2B SaaS,Horizontal,Logistics and Supply Chain,Small,activtech.com,https://www.linkedin.com/company/activ-technologies-inc-/about/,"2472 Jett Ferry Rd Ste 400 # 183, Atlanta, GA 30338"
"Adaptigent, formerly GT Software",Caleb Clarke,51-200 employees,Self-funded,Founded: 1982,B2B SaaS,Horizontal,IT Mgt,Medium,www.adaptigent.com,https://www.linkedin.com/company/adaptigent/about/,"6255 Barfield Road NE, Suite 200, Atlanta, GA 30328"
Aderant,Deane Speer Price,501-1000 employees,Acquired,Founded: 1978,B2B SaaS,Legal,Practice Management,Large,www.aderant.com,https://www.linkedin.com/company/aderant/about/,"500 Northridge Road, Suite 800, Atlanta, GA 30350"
